hatchery,year,n,total
CH,2011,930,9270
CH,2012,850,9270
CH,2013,891,9270
CH,2014,878,9270
CH,2015,1375,9270
CH,2016,450,9270
CH,2017,987,9270
CH,2018,1342,9270
CH,2019,1567,9270
FRH,2011,637,8010
FRH,2012,753,8010
FRH,2013,1512,8010
FRH,2014,1499,8010
FRH,2015,580,8010
FRH,2016,126,8010
FRH,2017,879,8010
FRH,2018,1090,8010
FRH,2019,934,8010
MRH,2011,207,2491
MRH,2012,203,2491
MRH,2013,130,2491
MRH,2014,186,2491
MRH,2015,129,2491
MRH,2016,55,2491
MRH,2017,647,2491
MRH,2018,623,2491
MRH,2019,311,2491
NH,2011,499,3464
NH,2012,291,3464
NH,2013,410,3464
NH,2014,327,3464
NH,2015,87,3464
NH,2016,503,3464
NH,2017,510,3464
NH,2018,399,3464
NH,2019,438,3464
