hatchery,year,n,total
CH,2011,930,9267
CH,2012,849,9267
CH,2013,888,9267
CH,2014,876,9267
CH,2015,1374,9267
CH,2016,452,9267
CH,2017,989,9267
CH,2018,1342,9267
CH,2019,1567,9267
FRH,2011,635,7977
FRH,2012,751,7977
FRH,2013,1490,7977
FRH,2014,1492,7977
FRH,2015,580,7977
FRH,2016,126,7977
FRH,2017,879,7977
FRH,2018,1090,7977
FRH,2019,934,7977
MRH,2011,206,2487
MRH,2012,202,2487
MRH,2013,130,2487
MRH,2014,186,2487
MRH,2015,129,2487
MRH,2016,55,2487
MRH,2017,646,2487
MRH,2018,622,2487
MRH,2019,311,2487
NH,2011,497,3462
NH,2012,291,3462
NH,2013,410,3462
NH,2014,327,3462
NH,2015,87,3462
NH,2016,503,3462
NH,2017,510,3462
NH,2018,399,3462
NH,2019,438,3462
