PopName,day_bin,kid_sex,age_spawn,count_age,count_total,freq
CH,1,Female,2,76,107,0.7102803738317757
CH,1,Female,3,27,107,0.2523364485981308
CH,1,Female,4,4,107,0.037383177570093455
CH,1,Male,2,112,131,0.8549618320610687
CH,1,Male,3,19,131,0.1450381679389313
CH,2,Female,2,137,158,0.8670886075949367
CH,2,Male,2,169,180,0.9388888888888889
CH,2,Female,3,19,158,0.12025316455696203
CH,2,Female,4,2,158,0.012658227848101266
CH,2,Male,3,9,180,0.05
CH,2,Male,4,2,180,0.011111111111111112
CH,3,Female,2,14,24,0.5833333333333334
CH,3,Female,3,10,24,0.4166666666666667
CH,3,Male,2,26,32,0.8125
CH,3,Male,3,6,32,0.1875
CH,4,Female,2,142,176,0.8068181818181818
CH,4,Female,3,32,176,0.18181818181818182
CH,4,Male,2,164,194,0.845360824742268
CH,4,Male,3,30,194,0.15463917525773196
CH,4,Female,4,2,176,0.011363636363636364
CH,5,Female,2,144,195,0.7384615384615385
CH,5,Female,3,48,195,0.24615384615384617
CH,5,Female,4,3,195,0.015384615384615385
CH,5,Male,2,175,203,0.8620689655172413
CH,5,Male,3,26,203,0.12807881773399016
CH,5,Male,4,2,203,0.009852216748768473
CH,6,Female,2,116,120,0.9666666666666667
CH,6,Female,3,3,120,0.025
CH,6,Male,2,123,125,0.984
CH,6,Male,3,2,125,0.016
CH,6,Female,4,1,120,0.008333333333333333
CH,7,Female,2,71,91,0.7802197802197802
CH,7,Female,3,19,91,0.2087912087912088
CH,7,Female,4,1,91,0.01098901098901099
CH,7,Male,2,79,94,0.8404255319148937
CH,7,Male,3,14,94,0.14893617021276595
CH,7,Male,4,1,94,0.010638297872340425
CH,8,Female,2,43,57,0.7543859649122807
CH,8,Female,3,14,57,0.24561403508771928
CH,8,Male,2,53,64,0.828125
CH,8,Male,3,11,64,0.171875
CH,9,Female,2,234,292,0.8013698630136986
CH,9,Female,3,53,292,0.1815068493150685
CH,9,Male,2,266,302,0.8807947019867549
CH,9,Male,3,36,302,0.11920529801324503
CH,9,Female,4,5,292,0.017123287671232876
CH,10,Female,2,241,311,0.77491961414791
CH,10,Female,3,70,311,0.22508038585209003
CH,10,Male,2,302,349,0.8653295128939829
CH,10,Male,3,46,349,0.1318051575931232
CH,10,Male,4,1,349,0.0028653295128939827
CH,11,Female,2,33,45,0.7333333333333333
CH,11,Female,3,10,45,0.2222222222222222
CH,11,Female,4,2,45,0.044444444444444446
CH,11,Male,2,35,40,0.875
CH,11,Male,3,3,40,0.075
CH,11,Male,4,2,40,0.05
CH,12,Female,2,128,164,0.7804878048780488
CH,12,Female,3,34,164,0.2073170731707317
CH,12,Male,2,160,182,0.8791208791208791
CH,12,Male,3,19,182,0.1043956043956044
CH,12,Female,4,2,164,0.012195121951219513
CH,12,Male,4,3,182,0.016483516483516484
CH,13,Female,2,134,184,0.7282608695652174
CH,13,Female,3,48,184,0.2608695652173913
CH,13,Female,4,2,184,0.010869565217391304
CH,13,Male,2,173,189,0.9153439153439153
CH,13,Male,3,16,189,0.08465608465608465
CH,14,Female,2,150,181,0.8287292817679558
CH,14,Female,3,27,181,0.14917127071823205
CH,14,Female,4,4,181,0.022099447513812154
CH,14,Male,2,139,152,0.9144736842105263
CH,14,Male,3,13,152,0.08552631578947369
CH,15,Female,2,150,192,0.78125
CH,15,Female,3,41,192,0.21354166666666666
CH,15,Female,4,1,192,0.005208333333333333
CH,15,Male,2,151,161,0.937888198757764
CH,15,Male,3,10,161,0.062111801242236024
CH,16,Female,2,92,99,0.9292929292929293
CH,16,Female,3,7,99,0.0707070707070707
CH,16,Male,2,99,107,0.9252336448598131
CH,16,Male,3,7,107,0.06542056074766354
CH,16,Male,4,1,107,0.009345794392523364
CH,17,Female,2,68,69,0.9855072463768116
CH,17,Male,2,58,64,0.90625
CH,17,Male,3,5,64,0.078125
CH,17,Male,4,1,64,0.015625
CH,17,Female,3,1,69,0.014492753623188406
CH,18,Female,2,64,80,0.8
CH,18,Female,3,16,80,0.2
CH,18,Male,2,70,76,0.9210526315789473
CH,18,Male,3,6,76,0.07894736842105263
CH,19,Female,2,111,130,0.8538461538461538
CH,19,Female,3,19,130,0.14615384615384616
CH,19,Male,2,118,129,0.9147286821705426
CH,19,Male,3,9,129,0.06976744186046512
CH,19,Male,4,2,129,0.015503875968992248
CH,20,Female,2,101,122,0.8278688524590164
CH,20,Female,3,20,122,0.16393442622950818
CH,20,Male,2,88,108,0.8148148148148148
CH,20,Male,3,20,108,0.18518518518518517
CH,20,Female,4,1,122,0.00819672131147541
FRH,1,Female,2,36,44,0.8181818181818182
FRH,1,Male,2,103,109,0.944954128440367
FRH,1,Female,3,8,44,0.18181818181818182
FRH,1,Male,3,6,109,0.05504587155963303
FRH,2,Female,2,81,103,0.7864077669902912
FRH,2,Female,3,21,103,0.20388349514563106
FRH,2,Female,4,1,103,0.009708737864077669
FRH,2,Male,2,171,190,0.9
FRH,2,Male,3,19,190,0.1
FRH,3,Female,2,32,43,0.7441860465116279
FRH,3,Female,3,10,43,0.23255813953488372
FRH,3,Female,4,1,43,0.023255813953488372
FRH,3,Male,2,53,61,0.8688524590163934
FRH,3,Male,3,7,61,0.11475409836065574
FRH,3,Male,4,1,61,0.01639344262295082
FRH,4,Female,2,185,258,0.7170542635658915
FRH,4,Female,3,69,258,0.26744186046511625
FRH,4,Female,4,4,258,0.015503875968992248
FRH,4,Male,2,265,305,0.8688524590163934
FRH,4,Male,3,39,305,0.12786885245901639
FRH,4,Male,4,1,305,0.003278688524590164
FRH,5,Female,2,75,85,0.8823529411764706
FRH,5,Female,3,10,85,0.11764705882352941
FRH,5,Male,2,74,80,0.925
FRH,5,Male,3,5,80,0.0625
FRH,5,Male,4,1,80,0.0125
FRH,6,Female,2,6,23,0.2608695652173913
FRH,6,Female,3,15,23,0.6521739130434783
FRH,6,Male,2,22,31,0.7096774193548387
FRH,6,Male,3,8,31,0.25806451612903225
FRH,6,Female,4,2,23,0.08695652173913043
FRH,6,Male,4,1,31,0.03225806451612903
FRH,7,Female,2,156,196,0.7959183673469388
FRH,7,Female,3,40,196,0.20408163265306123
FRH,7,Male,2,251,272,0.9227941176470589
FRH,7,Male,3,20,272,0.07352941176470588
FRH,7,Male,4,1,272,0.003676470588235294
FRH,8,Female,2,163,179,0.9106145251396648
FRH,8,Female,3,15,179,0.08379888268156424
FRH,8,Female,4,1,179,0.00558659217877095
FRH,8,Male,2,169,181,0.9337016574585635
FRH,8,Male,3,11,181,0.06077348066298342
FRH,8,Male,4,1,181,0.0055248618784530384
FRH,9,Female,3,5,13,0.38461538461538464
FRH,9,Female,2,8,13,0.6153846153846154
FRH,9,Male,2,10,11,0.9090909090909091
FRH,9,Male,3,1,11,0.09090909090909091
FRH,10,Female,2,202,225,0.8977777777777778
FRH,10,Female,3,23,225,0.10222222222222223
FRH,10,Male,2,225,240,0.9375
FRH,10,Male,3,15,240,0.0625
FRH,11,Female,2,92,97,0.9484536082474226
FRH,11,Female,3,4,97,0.041237113402061855
FRH,11,Male,2,78,90,0.8666666666666667
FRH,11,Male,3,11,90,0.12222222222222222
FRH,11,Male,4,1,90,0.011111111111111112
FRH,11,Female,4,1,97,0.010309278350515464
FRH,12,Female,2,65,89,0.7303370786516854
FRH,12,Female,3,24,89,0.2696629213483146
FRH,12,Male,2,78,88,0.8863636363636364
FRH,12,Male,3,10,88,0.11363636363636363
FRH,13,Female,2,137,154,0.8896103896103896
FRH,13,Female,3,17,154,0.11038961038961038
FRH,13,Male,2,125,135,0.9259259259259259
FRH,13,Male,3,10,135,0.07407407407407407
FRH,14,Female,2,58,63,0.9206349206349206
FRH,14,Female,3,5,63,0.07936507936507936
FRH,14,Male,2,44,54,0.8148148148148148
FRH,14,Male,3,10,54,0.18518518518518517
FRH,15,Female,2,47,61,0.7704918032786885
FRH,15,Female,4,1,61,0.01639344262295082
FRH,15,Male,2,73,79,0.9240506329113924
FRH,15,Male,3,6,79,0.0759493670886076
FRH,15,Female,3,13,61,0.21311475409836064
FRH,16,Female,2,183,212,0.8632075471698113
FRH,16,Male,2,200,212,0.9433962264150944
FRH,16,Female,3,27,212,0.12735849056603774
FRH,16,Male,3,11,212,0.05188679245283019
FRH,16,Female,4,2,212,0.009433962264150943
FRH,16,Male,4,1,212,0.0047169811320754715
FRH,17,Female,2,11,13,0.8461538461538461
FRH,17,Female,3,1,13,0.07692307692307693
FRH,17,Male,2,5,5,1
FRH,17,Female,4,1,13,0.07692307692307693
FRH,18,Female,2,56,57,0.9824561403508771
FRH,18,Male,2,59,62,0.9516129032258065
FRH,18,Female,4,1,57,0.017543859649122806
FRH,18,Male,3,3,62,0.04838709677419355
FRH,19,Male,2,7,9,0.7777777777777778
FRH,19,Male,3,2,9,0.2222222222222222
