strata.1,strata.2,Fst,Fst.p.val,year
CH,CH,0,9.99001e-4,2011
CH,FRH,0.013301730576220538,9.99000999000999e-4,2011
CH,MRH,0.027481121610777832,9.99000999000999e-4,2011
CH,NH,0.1057505201694487,9.99000999000999e-4,2011
FRH,CH,0.013301730576220538,9.99000999000999e-4,2011
FRH,FRH,0,9.99001e-4,2011
FRH,MRH,0.011265757262389096,9.99000999000999e-4,2011
FRH,NH,0.10591220259268658,9.99000999000999e-4,2011
MRH,CH,0.027481121610777832,9.99000999000999e-4,2011
MRH,FRH,0.011265757262389096,9.99000999000999e-4,2011
MRH,MRH,0,9.99001e-4,2011
MRH,NH,0.10910851074305321,9.99000999000999e-4,2011
NH,CH,0.1057505201694487,9.99000999000999e-4,2011
NH,FRH,0.10591220259268658,9.99000999000999e-4,2011
NH,MRH,0.10910851074305321,9.99000999000999e-4,2011
NH,NH,0,9.99001e-4,2011
CH,CH,0,9.99001e-4,2012
CH,FRH,0.023451570243185615,9.99000999000999e-4,2012
CH,MRH,0.030206103931551577,9.99000999000999e-4,2012
CH,NH,0.09136211443773981,9.99000999000999e-4,2012
FRH,CH,0.023451570243185615,9.99000999000999e-4,2012
FRH,FRH,0,9.99001e-4,2012
FRH,MRH,0.024061675931314537,9.99000999000999e-4,2012
FRH,NH,0.0920623879640154,9.99000999000999e-4,2012
MRH,CH,0.030206103931551577,9.99000999000999e-4,2012
MRH,FRH,0.024061675931314537,9.99000999000999e-4,2012
MRH,MRH,0,9.99001e-4,2012
MRH,NH,0.08975822388753452,9.99000999000999e-4,2012
NH,CH,0.09136211443773981,9.99000999000999e-4,2012
NH,FRH,0.0920623879640154,9.99000999000999e-4,2012
NH,MRH,0.08975822388753452,9.99000999000999e-4,2012
NH,NH,0,9.99001e-4,2012
CH,CH,0,9.99001e-4,2013
CH,FRH,0.01751452006058074,9.99000999000999e-4,2013
CH,MRH,0.03162740847994545,9.99000999000999e-4,2013
CH,NH,0.10357892071588376,9.99000999000999e-4,2013
FRH,CH,0.01751452006058074,9.99000999000999e-4,2013
FRH,FRH,0,9.99001e-4,2013
FRH,MRH,0.014670763236693104,9.99000999000999e-4,2013
FRH,NH,0.10478738673862589,9.99000999000999e-4,2013
MRH,CH,0.03162740847994545,9.99000999000999e-4,2013
MRH,FRH,0.014670763236693104,9.99000999000999e-4,2013
MRH,MRH,0,9.99001e-4,2013
MRH,NH,0.1130710655822122,9.99000999000999e-4,2013
NH,CH,0.10357892071588376,9.99000999000999e-4,2013
NH,FRH,0.10478738673862589,9.99000999000999e-4,2013
NH,MRH,0.1130710655822122,9.99000999000999e-4,2013
NH,NH,0,9.99001e-4,2013
CH,CH,0,9.99001e-4,2014
CH,FRH,0.015584054767117822,9.99000999000999e-4,2014
CH,MRH,0.021995109078632027,9.99000999000999e-4,2014
CH,NH,0.09515806879955829,9.99000999000999e-4,2014
FRH,CH,0.015584054767117822,9.99000999000999e-4,2014
FRH,FRH,0,9.99001e-4,2014
FRH,MRH,0.017765369314765824,9.99000999000999e-4,2014
FRH,NH,0.09474058918356817,9.99000999000999e-4,2014
MRH,CH,0.021995109078632027,9.99000999000999e-4,2014
MRH,FRH,0.017765369314765824,9.99000999000999e-4,2014
MRH,MRH,0,9.99001e-4,2014
MRH,NH,0.09260975165937291,9.99000999000999e-4,2014
NH,CH,0.09515806879955829,9.99000999000999e-4,2014
NH,FRH,0.09474058918356817,9.99000999000999e-4,2014
NH,MRH,0.09260975165937291,9.99000999000999e-4,2014
NH,NH,0,9.99001e-4,2014
CH,CH,0,9.99001e-4,2015
CH,FRH,0.018724001836980406,9.99000999000999e-4,2015
CH,MRH,0.027898134795449187,9.99000999000999e-4,2015
CH,NH,0.09577398326788086,9.99000999000999e-4,2015
FRH,CH,0.018724001836980406,9.99000999000999e-4,2015
FRH,FRH,0,9.99001e-4,2015
FRH,MRH,0.02324896614356369,9.99000999000999e-4,2015
FRH,NH,0.09706458006687091,9.99000999000999e-4,2015
MRH,CH,0.027898134795449187,9.99000999000999e-4,2015
MRH,FRH,0.02324896614356369,9.99000999000999e-4,2015
MRH,MRH,0,9.99001e-4,2015
MRH,NH,0.11470507471128996,9.99000999000999e-4,2015
NH,CH,0.09577398326788086,9.99000999000999e-4,2015
NH,FRH,0.09706458006687091,9.99000999000999e-4,2015
NH,MRH,0.11470507471128996,9.99000999000999e-4,2015
NH,NH,0,9.99001e-4,2015
CH,CH,0,9.99001e-4,2016
CH,FRH,0.021326548042275916,9.99000999000999e-4,2016
CH,MRH,0.04689685461101878,9.99000999000999e-4,2016
CH,NH,0.11835467833369163,9.99000999000999e-4,2016
FRH,CH,0.021326548042275916,9.99000999000999e-4,2016
FRH,FRH,0,9.99001e-4,2016
FRH,MRH,0.029410964015627393,9.99000999000999e-4,2016
FRH,NH,0.11039939476535918,9.99000999000999e-4,2016
MRH,CH,0.04689685461101878,9.99000999000999e-4,2016
MRH,FRH,0.029410964015627393,9.99000999000999e-4,2016
MRH,MRH,0,9.99001e-4,2016
MRH,NH,0.13426588780421508,9.99000999000999e-4,2016
NH,CH,0.11835467833369163,9.99000999000999e-4,2016
NH,FRH,0.11039939476535918,9.99000999000999e-4,2016
NH,MRH,0.13426588780421508,9.99000999000999e-4,2016
NH,NH,0,9.99001e-4,2016
CH,CH,0,9.99001e-4,2017
CH,FRH,0.0198648811901276,9.99000999000999e-4,2017
CH,MRH,0.035301787931227784,9.99000999000999e-4,2017
CH,NH,0.05076163639859903,9.99000999000999e-4,2017
FRH,CH,0.0198648811901276,9.99000999000999e-4,2017
FRH,FRH,0,9.99001e-4,2017
FRH,MRH,0.022820927000040157,9.99000999000999e-4,2017
