SpawnYear1,SpawnYears,Mean_Fst,Hatchery
2011,2011:2012,0.00258832536856688,CH
2012,2012:2013,0.0011315279029699248,CH
2013,2013:2014,0.00260200004308384,CH
2014,2014:2015,0.0017881885221898836,CH
2015,2015:2016,-3.246265901064504e-4,CH
2016,2016:2017,-0.0015387075580021372,CH
2017,2017:2018,0.0015248943183251741,CH
2018,2018:2019,0.00177184604859218,CH
2011,2011:2012,0.005949734158831604,FRH
2012,2012:2013,0.008180794359632933,FRH
2013,2013:2014,0.004768929824687263,FRH
2014,2014:2015,5.241651864350423e-4,FRH
2015,2015:2016,-0.001880695054820442,FRH
2016,2016:2017,0.0037965297567412633,FRH
2017,2017:2018,0.008108086584328473,FRH
2018,2018:2019,0.0025511799907781884,FRH
2011,2011:2012,0.01497157696051242,MRH
2012,2012:2013,0.006124470697085214,MRH
2013,2013:2014,0.005648547584095336,MRH
2014,2014:2015,0.004991014616934172,MRH
2015,2015:2016,0.013459610347797262,MRH
2016,2016:2017,0.012064232026177353,MRH
2017,2017:2018,0.004000124244574483,MRH
2018,2018:2019,0.0014699513151444307,MRH
2011,2011:2012,0.010963061406089474,NH
2012,2012:2013,0.013896870600707035,NH
2013,2013:2014,0.007114977534242568,NH
2014,2014:2015,0.007939738017311255,NH
2015,2015:2016,0.008524355221121575,NH
2016,2016:2017,0.017166809916634333,NH
2017,2017:2018,0.011255311541016283,NH
2018,2018:2019,0.024787736387335547,NH
