kid_col,total_offspring,percent_assigned,CH_2011,CH_2012,CH_2013,CH_2014,CH_2015,CH_2016,CH_2017,CH_2018,CH_2019,FRH_2011,FRH_2012,FRH_2013,FRH_2014,FRH_2015,FRH_2016,FRH_2017,FRH_2018,FRH_2019,MRH_2011,MRH_2012,MRH_2013,MRH_2014,MRH_2015,MRH_2016,MRH_2017,MRH_2018,MRH_2019,NH_2011,NH_2012,NH_2013,NH_2014,NH_2015,NH_2016,NH_2017,NH_2018,NH_2019,total_assigned
CH_2011,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH_2012,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH_2013,888,56.30630630630631,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
CH_2014,876,92.57990867579909,217,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811
CH_2015,1374,87.33624454148472,37,127,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1200
CH_2016,452,92.03539823008849,5,19,156,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416
CH_2017,989,83.72093023255815,1,7,43,88,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,828
CH_2018,1342,76.60208643815201,0,0,2,1,31,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028
CH_2019,1567,71.02744097000638,0,0,0,2,7,360,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113
FRH_2011,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRH_2012,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRH_2013,1490,65.16778523489933,0,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971
FRH_2014,1492,59.651474530831095,0,0,0,0,0,0,0,0,0,186,699,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890
FRH_2015,580,43.96551724137931,0,0,0,0,0,0,0,0,0,24,97,131,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,255
FRH_2016,126,42.857142857142854,0,0,0,0,0,0,0,0,0,0,4,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54
FRH_2017,879,79.86348122866895,0,0,0,0,2,0,0,0,0,0,1,8,80,595,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,702
FRH_2018,1090,88.89908256880734,0,0,0,0,0,9,0,0,0,0,0,0,13,82,863,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,969
FRH_2019,934,85.4389721627409,0,0,0,0,0,0,0,0,0,0,0,0,4,9,214,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,798
MRH_2011,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRH_2012,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRH_2013,130,44.61538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
MRH_2014,186,67.20430107526882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
MRH_2015,129,78.29457364341084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,101
MRH_2016,55,72.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,40
MRH_2017,646,95.97523219814241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,594,0,0,0,0,0,0,0,0,0,0,0,0,0,620
MRH_2018,622,88.58520900321544,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,146,400,0,0,0,0,0,0,0,0,0,0,0,0,551
MRH_2019,311,71.70418006430869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,168,26,0,0,0,0,0,0,0,10,1,0,0,223
NH_2011,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH_2012,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH_2013,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH_2014,327,66.97247706422019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,202,5,0,0,0,0,0,0,0,219
NH_2015,87,91.95402298850574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,47,31,0,0,0,0,0,0,80
NH_2016,503,93.24055666003976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,454,1,0,0,0,0,0,469
NH_2017,510,93.33333333333333,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,40,3,245,0,0,0,0,476
NH_2018,399,75.6892230576441,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,297,0,0,0,0,302
NH_2019,438,85.61643835616438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,372,0,0,0,375
