PopName,kid_hatchery,SpawnYear,kid_year,straying,age_spawn,n,total,freq
CH,FRH,2015,2017,stray,2,2,293,0.006825938566552901
CH,FRH,2016,2018,stray,2,9,293,0.030716723549488054
CH,MRH,2016,2018,stray,2,1,293,0.0034129692832764505
CH,NH,2015,2017,stray,2,21,293,0.07167235494880546
CH,NH,2015,2018,stray,3,3,293,0.010238907849829351
FRH,NH,2015,2017,stray,2,2,293,0.006825938566552901
MRH,CH,2014,2016,stray,2,1,293,0.0034129692832764505
MRH,CH,2015,2017,stray,2,1,293,0.0034129692832764505
MRH,FRH,2011,2013,stray,2,13,293,0.04436860068259386
MRH,FRH,2011,2014,stray,3,3,293,0.010238907849829351
MRH,FRH,2012,2014,stray,2,2,293,0.006825938566552901
MRH,FRH,2013,2015,stray,2,1,293,0.0034129692832764505
MRH,FRH,2015,2017,stray,2,16,293,0.05460750853242321
MRH,FRH,2016,2018,stray,2,2,293,0.006825938566552901
MRH,NH,2012,2014,stray,2,12,293,0.040955631399317405
MRH,NH,2012,2015,stray,3,1,293,0.0034129692832764505
MRH,NH,2013,2015,stray,2,1,293,0.0034129692832764505
MRH,NH,2015,2017,stray,2,165,293,0.5631399317406144
MRH,NH,2016,2018,stray,2,1,293,0.0034129692832764505
MRH,NH,2016,2019,stray,3,2,293,0.006825938566552901
NH,CH,2012,2015,stray,3,2,293,0.006825938566552901
NH,FRH,2012,2015,stray,3,2,293,0.006825938566552901
NH,FRH,2013,2016,stray,3,1,293,0.0034129692832764505
NH,FRH,2016,2019,stray,3,14,293,0.04778156996587031
NH,MRH,2011,2015,stray,4,1,293,0.0034129692832764505
NH,MRH,2012,2015,stray,3,1,293,0.0034129692832764505
NH,MRH,2013,2016,stray,3,2,293,0.006825938566552901
NH,MRH,2016,2019,stray,3,10,293,0.034129692832764506
NH,MRH,2017,2019,stray,2,1,293,0.0034129692832764505
